Execution_No;Strategy;Round;id_client;POURCENTAGE_CPU;POURCENTAGE_RAM
1;fedavg;;0;0.8;36.8
1;fedavg;;1;1.7;42.7
1;fedavg;;2;0.8;42.7
1;fedavg;;3;0.8;42.7
1;fedavg;;4;0.8;42.7
1;fedavg;;5;1.7;42.7
1;fedavg;;6;0.0;42.7
1;fedavg;;7;2.5;42.7
