Execution_No;Strategy;Round;id_client;POURCENTAGE_CPU;POURCENTAGE_RAM
1;fedavg;;0;0.8;36.9
1;fedavg;;1;2.5;42.7
1;fedavg;;3;3.3;42.7
1;fedavg;;4;5.0;42.7
1;fedavg;;5;0.0;42.8
1;fedavg;;6;0.8;42.8
1;fedavg;;7;0.0;42.8
1;fedavg;;9;0.8;42.8
