Execution_No;Strategy;Round;id_client;POURCENTAGE_CPU;POURCENTAGE_RAM
1;fedavg;;0;0.8;36.8
1;fedavg;;1;0.0;42.7
1;fedavg;;3;1.7;42.7
1;fedavg;;4;1.7;42.7
1;fedavg;;6;0.0;42.7
1;fedavg;;7;0.0;42.7
1;fedavg;;8;0.0;42.7
1;fedavg;;9;0.8;42.7
